國巨股份有限公司及其子公司合併損益表  
民國111年及110年1月1日至3月31日  
(僅經核閱，未依一般公認審計準則查核)  
單位：新台幣千元，除每股盈餘為元  

| 代碼 | 金額 | % | 金額 | % |  
| --- | --- | --- | --- | --- |  
| 營業收入(附註三二) | | | | |  
| 4100 銷貨收入-淨額 | 30,134,218 | 100 | 28,025,982 | 100 |  
| 5000 營業成本(附註十二、二四及三二) | 18,648,750 | 62 | 17,506,511 | 63 |  
| 5900 營業毛利 | 11,485,468 | 38 | 10,519,471 | 37 |  
| 營業費用(附註二四及三二) | | | | |  
| 6100 行銷費用 | 1,568,200 | 5 | 1,477,283 | 5 |  
| 6200 管理費用 | 1,735,235 | 6 | 1,741,110 | 6 |  
| 6300 研究發展費用 | 700,957 | 2 | 749,758 | 3 |  
| 6450 預期信用減損迴轉利益(附註十) | (5,561) | | (6,334) | |  
| 6000 營業費用合計 | 3,998,831 | 13 | 3,961,811 | 14 |  
| 6900 營業淨利 | 7,486,637 | 25 | 6,557,654 | 23 |  
| 營業外收入及支出 | | | | |  
| 7050 財務成本(附註二四) | (235,121) | (1) | (299,835) | (1) |  
| 7060 採用權益法之關聯企業及合資損益份額 | 48,644 | | 25,888 | |  
| 7100 利息收入 | 268,717 | 1 | 232,499 | 1 |  
| 7110 租金收入(附註三二) | 9,469 | | 11,290 | |  
| 7235 透過損益按公允價值衡量之金融商品淨利益(損失) | 437,590 | | (108,435) | |  
| 7020 其他利益及損失(附註二四) | 39,596 | | 634,082 | |  
| 7000 營業外收入及支出合計 | 568,895 | 2 | 495,489 | 2 |  
| 7900 稅前淨利 | 8,055,532 | 27 | 7,053,143 | 25 |  
| 7950 所得稅費用(附註四及二五) | 1,785,546 | 6 | 1,567,242 | 6 |  
| 8200 本期淨利 | 6,269,986 | 21 | 5,485,901 | 19 |  
| 其他綜合損益 | | | | |  
| 8310 不重分類至損益之項目 | | | | |  
| 8316 透過其他綜合損益按公允價值衡量之權益工具投資未實現評價損益(附註二三) | (8,713) | | 6,848 | |  
| 8320 採用權益法之關聯企業及合資其他綜合損益份額 | 1,584 | | (16,297) | |  
| 8360 後續可能重分類至損益之項目 | | | | |  
| 8361 國外營運機構財務報表換算之兌換差額(附註二三) | 5,334,215 | 18 | (702,841) | (2) |  
| 8368 避險工具之損益 | 306,511 | 1 | (55,543) | |  
| 8370 採用權益法之關聯企業及合資之其他綜合損益份額(附註二三) | 34,754 | | 14,807 | |  
| 8399 與可能重分類之項目相關之所得稅(附註四及二五) | (1,079,712) | (4) | 130,786 | |  
| 8300 本期其他綜合損益(稅後淨額) | 4,579,471 | 15 | (635,557) | (2) |  
| 8500 本期綜合損益總額 | 10,849,457 | 36 | 4,850,344 | 17 |  
| 淨利歸屬於 | | | | |  
| 8610 本公司業主 | 6,242,293 | 21 | 5,005,033 | 18 |  
| 8615 共同控制下前手權益 | 1,245 | | 20,087 | |  
| 8620 非控制權益 | 26,448 | | 460,781 | 2 |  
| 8600 合計 | 6,269,986 | 21 | 5,485,901 | 20 |  
| 綜合損益總額歸屬於 | | | | |  
| 8710 本公司業主 | 10,814,862 | 36 | 4,464,143 | 16 |  
| 8715 共同控制下前手權益 | 1,245 | | 17,126 | |  
| 8720 非控制權益 | 33,350 | | 369,075 | 1 |  
| 8700 合計 | 10,849,457 | 36 | 4,850,344 | 17 |  
| 每股盈餘(附註二六) | | | | |  
| 9750 基本 | 11.59 | | 10.13 | |  
| 9850 稀釋 | 11.29 | | 9.90 | |  

後附之附註係本合併財務報告之一部分  
(請參閱勤業眾信聯合會計師事務所民國111年4月26日核閱報告)  

董事長：陳泰銘  
經理人：王淡如  
會計主管：楊文翔  
