光寶科技股份有限公司及子公司  
合併損益表  
民國111年及110年1月1日至3月31日  
(僅經核閱，未依一般公認審計準則查核)  
單位：新台幣仟元，惟每股盈餘為元  

| 代碼 | 金額 | % | 金額 | % |  
| --- | --- | --- | --- | --- |  
| 營業收入(附註二四及三+) | | | | |  
| 4110 銷貨收入 | 42,149,777 | 102 | 38,506,956 | 102 |  
| 4190 減：銷貨折讓 | 830,075 | 2 | 700,861 | 2 |  
| 4170 銷貨退回 | 89,754 | | 88,079 | |  
| 4000 營業收入合計 | 41,229,948 | 100 | 37,718,016 | 100 |  
| 營業成本 | | | | |  
| 5110 銷貨成本(附註十二、二五及三+) | (34,163,091) | (83) | (31,000,331) | (82) |  
| 5900 營業毛利 | 7,066,857 | 17 | 6,717,685 | 18 |  
| 營業費用(附註二五及三+) | | | | |  
| 6100 推銷費用 | (1,427,940) | (3) | (1,288,490) | (3) |  
| 6200 管理費用 | (1,036,664) | (3) | (1,533,404) | (3) |  
| 6300 研究發展費用 | (1,619,297) | (4) | (1,251,238) | (3) |  
| 6450 預期信用減損損失(附註十一及二四) | (1,719) | | (537,955) | (1) |  
| 6000 營業費用合計 | (4,085,620) | (10) | (4,611,087) | (12) |  
| 6900 營業利益 | 2,981,237 | 7 | 2,106,598 | 6 |  
| 營業外收入及支出 | | | | |  
| 7060 採用權益法認列之關聯企業損失份額 | (1,581) | | (2,860) | |  
| 7100 利息收入 | 147,606 | | 167,057 | |  
| 7190 其他收入(附註三+) | 143,260 | | 191,980 | |  
| 7230 外幣兌換淨損 | (776,788) | (2) | (176,646) | |  
| 7235 透過損益按公允價值衡量之金融商品淨益 | 208,673 | | 3,463,057 | 9 |  
| 7235 透過損益按公允價值衡量之金融商品淨益-結構性商品 | 83,357 | | 72,337 | |  
| 7510 利息費用(附註二五) | (58,749) | | (39,506) | |  
| 7590 什項支出 | (75,701) | | (81,784) | |  
| 7610 處分不動產、廠房及設備淨益 | 5,553 | | 9,392 | |  
| 7670 減損損失(附註十五及十八) | (222,310) | (1) | | |  
| 7000 營業外收入及支出合計 | (324,370) | (1) | 3,380,711 | 8 |  
| 7900 稅前淨利 | 2,656,867 | 6 | 5,487,315 | 14 |  
| 7950 所得稅費用(附註二六) | (544,653) | (1) | (1,212,118) | (3) |  
| 8200 淨利 | 2,112,214 | 5 | 4,275,197 | 11 |  
| 其他綜合損益(附註二三及二六) | | | | |  
| 8310 不重分類至損益之項目 | | | | |  
| 8316 透過其他綜合損益按公允價值衡量之權益工具投資未實現評價利益 | 9,213 | | 30,496 | |  
| 8360 後續可能重分類至損益之項目： | | | | |  
| 8361 國外營運機構財務報表換算之兌換差額 | 3,493,527 | 9 | 860,190 | 2 |  
| 8370 採用權益法認列關聯企業之其他綜合利益之份額 | 53,824 | | 13,828 | |  
| 8399 與可能重分類至損益之項目相關之所得稅 | (691,407) | (2) | (180,647) | |  
| 8300 其他綜合損益合計 | 2,865,157 | 7 | 723,867 | 2 |  
| 8500 綜合損益總額 | 4,977,371 | 12 | 4,999,064 | 13 |  
| 淨利歸屬於 | | | | |  
| 8610 母公司業主 | 2,103,750 | 5 | 4,263,410 | 11 |  
| 8620 非控制權益 | 8,464 | | 11,787 | |  
| 8600 淨利 | 2,112,214 | 5 | 4,275,197 | 11 |  
| 綜合損益總額歸屬於： | | | | |  
| 8710 母公司業主 | 4,939,238 | 12 | 4,996,646 | 13 |  
| 8720 非控制權益 | 38,133 | | 2,418 | |  
| 8700 綜合損益總額 | 4,977,371 | 12 | 4,999,064 | 13 |  
| 每股盈餘(附註二七) | | | | |  
| 9750 基本 | 0.92 | | 1.83 | |  
| 9850 稀釋 | 0.91 | | 1.82 | |  

後附之附註係本合併財務報告之一部分  
(請參閱勤業眾信聯合會計師事務所民國111年4月28日核閱報告)  

董事長：宋明峰  
經理人：邱森彬  
會計主管：周珮芬  
