光寶科技股份有限公司及子公司
合併權益變動表
民國111年及110年1月1日至9月30日
科目代號	名稱	本期數據
A1	110年1月1日餘額	2,350,867
B1	董事利益之盈餘分派	1,824,126
B3	其他利益之盈餘分派	1,208,143
B5	餘額分派	12,692,187
O1	非控制權益變動	(1,393)
M7	對子公司所有權益之變動	-
M3	參股報酬利益之投資	69,958
C7	採用其他基礎列示之財務會計準則之變動數	(3,542)
M1	確定子公司因稅制變更發生負債	131,647
Q1	受分派損失未能回收負債金額之遞延至稅後差異	(400)
L1	應扣稅款回饋	11,377,338
D1	110年1月1日至9月30日淨利	11,377,338
D3	110年1月1日至9月30日其他綜合損失	(476,669)
D5	110年1月1日至9月30日綜合（損）益總額	10,898,987
Z1	110年9月30日結餘	72,873,527
A1	111年1月1日結餘	72,873,527
B1	董事利益之盈餘分派	(1,166,970)
B3	其他利益之盈餘分派	(2,725,667)
B5	餘額分派	(9,241,621)
O1	非控制權益變動	7,419
M5	賣方公司之公平價值被衡量負債基額	30,549
N1	稅務遞延的交易	744,667
L7	本年度股份支取	88,015
M7	對子公司所有權益之變動	37,793
H3	組織重組	(29,824)
C7	採用其他基礎列示之財務會計準則之變動數	6,822
M1	確定子公司因稅制變更發生負債	97,517
T1	其他利潤或損失	11
D1	111年1月1日至9月30日淨利	10,303,564
D3	111年1月1日至9月30日其他綜合（損）益	(124,108)
D5	111年1月1日至9月30日綜合（損）益總額	10,303,625
D5	111年1月1日至9月30日綜合（損）益總額	10,303,564
Z1	111年9月30日結餘	29,513,141
